Activity,Sectors,DistinctProjects
Sustainable land management,"Agriculture, Fishing & Forestry",1
Tariff scheme transition,Social Protection,1
Tax administration modernization,Public Administration,1
Tax administration reform,Public Administration,1
Tax policy reform,Public Administration,1
Teacher recruitment,Education,1
Teacher training,Education,1
Teacher training programs,Education,1
Technical assistance,"Agriculture, Fishing & Forestry",1
Temporary cash transfers,Social Protection,1
Territorial planning reform,Public Administration,1
Textbook distribution,Education,1
Track rehabilitation,Transportation,1
Training programs,Public Administration,1
Transfer allocation reform,Public Administration,1
Transmission line construction,Energy & Extractives,1
Transmission line rehabilitation,"Water, Sanitation & Waste Management",1
Transport infrastructure upgrade,Transportation,1
Treasury management reform,Public Administration,1
Unemployment insurance expansion,Social Protection,1
Urban expansion planning,Public Administration,1
Urban planning,Public Administration,1
Urban space rehabilitation,"Water, Sanitation & Waste Management",1
Vaccination campaign,Health,1
Vaccination campaigns,Health,1
Vaccination rollout,Health,1
Vaccine deployment,Health,1
Vaccine procurement,Health,1
Value chain development,"Industry, Trade & Services",1
Vessel procurement,Transportation,1
Waste collection,"Water, Sanitation & Waste Management",1
Waste collection expansion,"Water, Sanitation & Waste Management",1
Waste management infrastructure,"Industry, Trade & Services",1
Wastewater infrastructure upgrade,"Water, Sanitation & Waste Management",1
Wastewater plant construction,"Water, Sanitation & Waste Management",1
Wastewater plant rehabilitation,"Water, Sanitation & Waste Management",1
Wastewater treatment,"Water, Sanitation & Waste Management",1
Wastewater treatment construction,"Water, Sanitation & Waste Management",1
Wastewater treatment upgrade,Public Administration,1
Water harvesting infrastructure,"Water, Sanitation & Waste Management",1
Water infrastructure,"Water, Sanitation & Waste Management",1
Water infrastructure construction,"Water, Sanitation & Waste Management",1
Water network construction,"Water, Sanitation & Waste Management",1
Water network expansion,"Water, Sanitation & Waste Management",1
Water network rehabilitation,"Water, Sanitation & Waste Management",1
Water pipeline construction,"Water, Sanitation & Waste Management",1
Water supply infrastructure,"Water, Sanitation & Waste Management",1
Watershed management,"Agriculture, Fishing & Forestry",1
Wheat procurement,"Agriculture, Fishing & Forestry",1
Workforce planning,Public Administration,1
Youth employment services,Public Administration,1
